20230507,01:34:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230507,01:34:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.2354690. ",Normal
20230507,01:34:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.3136064",Normal
20230507,01:39:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230507,01:39:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230507,01:39:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00] duration.,Normal
20230507,01:39:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230507,01:39:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230507,01:39:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230507,01:39:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.1590880. ",Normal
20230507,01:39:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.2208342",Normal
20230507,01:44:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230507,01:44:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230507,01:44:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00.0156233] duration.,Normal
20230507,01:44:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230507,01:44:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230507,01:44:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230507,01:44:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.2823439. ",Normal
20230507,01:44:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.4386044",Normal
20230507,01:49:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230507,01:49:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230507,01:49:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00] duration.,Normal
20230507,01:49:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230507,01:49:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230507,01:49:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
